Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Yordan Alvarez,HOU,25,37,0.74,0.462,185,3,6.6,19556
Albert Pujols,STL,42,24,0.51,0.365,151,1.4,1.8,1177
William Contreras,ATL,24,20,0.38,0.347,138,3.4,2.4,20503
Eloy Jimenez,CHW,25,16,0.39,0.365,144,1,1.7,17484
Shohei Ohtani,LAA,27,34,0.45,0.385,142,4.7,3.8,19755
Bryce Harper,PHI,29,18,0.53,0.38,138,4.6,2.4,11579
Willson Contreras,CHC,30,22,0.44,0.364,132,4.2,3.3,11609
Byron Buxton,MIN,28,28,0.29,0.358,136,6.5,4,14161
George Springer,TOR,32,25,0.54,0.342,132,6,4.2,12856
Luis Arraez,MIN,25,8,1.16,0.333,131,3,3.2,18568
Daniel Vogelbach,- - -,29,18,0.64,0.35,128,1.5,1.5,14130
Alejandro Kirk,TOR,23,14,1.09,0.351,129,1.1,3.8,22581
J.D. Martinez,BOS,34,16,0.36,0.349,119,2.1,1,6184
Justin Turner,LAD,37,13,0.56,0.339,123,2.8,2.4,5235
J.D. Davis,- - -,29,12,0.32,0.353,119,2.9,0.9,16219
Garrett Cooper,MIA,31,9,0.34,0.341,115,1.8,1.4,15279
Harold Ramirez,TBR,27,6,0.26,0.314,119,2.2,1.2,14387
Giancarlo Stanton,NYY,32,31,0.36,0.351,115,0.9,1.2,4949
Salvador Perez,KCR,32,23,0.17,0.326,109,1.5,0.5,7304
Donovan Solano,CIN,34,4,0.31,0.315,98,0.7,0.5,8623
Ketel Marte,ARI,28,12,0.54,0.315,102,4.2,1.4,13613
Charlie Blackmon,COL,35,16,0.29,0.301,89,4.5,0.1,7859
Trey Mancini,- - -,30,18,0.39,0.327,104,1.5,0.9,15149
Luke Voit,- - -,31,22,0.31,0.322,102,1.5,0.2,14811
Andrew McCutchen,MIL,35,17,0.46,0.325,98,3,0.3,9847
Carlos Santana,- - -,36,19,0.81,0.352,102,1,1,2396
Marcell Ozuna,ATL,31,23,0.25,0.337,89,2.4,-0.6,10324
Nelson Cruz,WSN,41,10,0.41,0.32,85,3,-0.8,2434
Darin Ruf,- - -,35,11,0.43,0.31,89,3.4,-0.7,9929
Gary Sanchez,MIN,29,16,0.29,0.321,89,2.3,1.3,11442
Jesus Aguilar,- - -,32,16,0.24,0.298,86,1.5,-0.4,11342
Franmil Reyes,- - -,26,14,0.19,0.275,80,3.2,-1.1,14566
Miguel Cabrera,DET,39,5,0.28,0.275,79,1.3,-1.5,1744
