Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Paul Goldschmidt,STL,34,35,0.56,0.367,177,3.6,7.1,9218
Freddie Freeman,LAD,32,21,0.82,0.403,157,4.8,7.1,5361
Nathaniel Lowe,TEX,26,27,0.33,0.344,143,2.7,3,19566
Pete Alonso,NYM,27,40,0.52,0.354,143,2.9,4,19251
Jose Abreu,CHW,35,15,0.56,0.373,138,1.4,3.9,15676
Anthony Rizzo,NYY,32,32,0.57,0.349,133,3.7,2.4,3473
Vladimir Guerrero Jr.,TOR,23,32,0.5,0.348,132,3.1,2.8,19611
Luis Arraez,MIN,25,8,1.16,0.333,131,3,3.2,18568
Christian Walker,ARI,31,36,0.53,0.359,122,2.7,4.1,13419
Rhys Hoskins,PHI,29,30,0.43,0.338,122,2.8,2.2,16472
Matt Olson,ATL,28,34,0.44,0.347,120,1.2,3.1,14344
Josh Bell,- - -,29,17,0.79,0.349,123,2.4,2,13145
Ty France,SEA,27,20,0.37,0.321,126,1.5,2.4,17982
C.J. Cron,COL,32,29,0.26,0.321,101,2.4,1.3,12546
Josh Naylor,CLE,25,20,0.48,0.327,117,2.9,1.7,18839
Garrett Cooper,MIA,31,9,0.34,0.341,115,1.8,1.4,15279
DJ LeMahieu,NYY,33,12,0.94,0.344,116,2.8,3,9874
Jose Miranda,MIN,24,15,0.31,0.317,117,1.5,1.1,20538
Harold Ramirez,TBR,27,6,0.26,0.314,119,2.2,1.2,14387
Rowdy Tellez,MIL,27,35,0.51,0.349,110,1.8,0.8,15679
Seth Brown,OAK,29,25,0.35,0.338,117,4.7,1.8,18171
Ji-Man Choi,TBR,31,11,0.47,0.337,116,0.7,1.3,5452
Donovan Solano,CIN,34,4,0.31,0.315,98,0.7,0.5,8623
Ryan Mountcastle,BAL,25,22,0.28,0.362,106,3,1.6,18373
Eric Hosmer,- - -,32,8,0.58,0.311,104,0.9,0.3,3516
Wilmer Flores,SFG,30,19,0.57,0.31,103,2.1,1.4,5827
Trey Mancini,- - -,30,18,0.39,0.327,104,1.5,0.9,15149
Luke Voit,- - -,31,22,0.31,0.322,102,1.5,0.2,14811
Joey Votto,CIN,38,11,0.45,0.322,92,1.5,-0.9,4314
Carlos Santana,- - -,36,19,0.81,0.352,102,1,1,2396
Cavan Biggio,TOR,27,6,0.45,0.288,97,4.9,1.3,19252
Christian Bethancourt,- - -,30,11,0.15,0.318,101,4,1.9,10028
Hunter Dozier,KCR,30,12,0.27,0.301,90,4.2,-1,15117
Harold Castro,DET,28,7,0.22,0.316,94,2.2,-0.4,14691
Darin Ruf,- - -,35,11,0.43,0.31,89,3.4,-0.7,9929
Jesus Aguilar,- - -,32,16,0.24,0.298,86,1.5,-0.4,11342
Bobby Dalbec,BOS,27,12,0.25,0.296,80,5,-0.1,19966
Owen Miller,CLE,25,6,0.34,0.291,85,3.6,0.6,24655
Yuli Gurriel,HOU,38,8,0.41,0.271,85,3.8,-0.9,19198
Michael Chavis,PIT,26,14,0.15,0.261,80,3.3,-0.6,17321
Jared Walsh,LAA,28,15,0.2,0.28,78,3.2,-0.6,18607
Spencer Torkelson,DET,22,8,0.37,0.305,76,2.4,-1,27465
