Name,Team,Pos,DRS,OAA,playerid
Brandon Marsh,LAA,LF,6,8,20202
Aaron Hicks,NYY,LF,8,1,5297
Steven Kwan,CLE,LF,21,10,24610
Jack Suwinski,PIT,LF,2,0,22244
Yordan Alvarez,HOU,LF,5,-5,19556
Chris Taylor,LAD,LF,-4,-1,13757
Akil Baddoo,DET,LF,8,1,22168
Sam Hilliard,COL,LF,11,0,17954
Chad Pinder,OAK,LF,-5,-1,15191
Connor Joe,COL,LF,5,-1,16572
David Peralta,- - -,LF,-5,5,2136
A.J. Pollock,CHW,LF,4,0,9256
Nick Gordon,MIN,LF,0,0,16337
Joey Gallo,- - -,LF,2,-3,14128
Tyler O'Neill,STL,LF,1,2,15711
Jorge Soler,MIA,LF,-1,-2,14221
Corey Dickerson,STL,LF,-3,1,10762
Eddie Rosario,ATL,LF,-2,-2,12155
Ian Happ,CHC,LF,13,1,17919
Raimel Tapia,TOR,LF,0,-2,14350
Robbie Grossman,- - -,LF,1,0,5254
Andrew Benintendi,- - -,LF,2,0,17901
Jurickson Profar,SDP,LF,2,-5,10815
Austin Hays,BAL,LF,3,-5,19363
Jo Adell,LAA,LF,-1,-3,20220
Alex Verdugo,BOS,LF,0,-4,17027
Lane Thomas,WSN,LF,-4,-2,16939
Randy Arozarena,TBR,LF,-4,-2,19290
Marcell Ozuna,ATL,LF,-6,-3,10324
Tony Kemp,OAK,LF,0,-2,14894
Ben Gamel,PIT,LF,-3,-3,12160
Yadiel Hernandez,WSN,LF,-3,-5,19334
Mark Canha,NYM,LF,-5,-1,11445
Tommy Pham,- - -,LF,0,-6,2967
Lourdes Gurriel Jr.,TOR,LF,3,-2,19238
Christian Yelich,MIL,LF,-2,-4,11477
Jesse Winker,SEA,LF,-16,-10,13590
Joc Pederson,SFG,LF,-12,-9,11899
Kyle Schwarber,PHI,LF,-14,-13,16478
