Name,Team,Pos,DRS,OAA,playerid
Daulton Varsho,ARI,RF,14,10,19918
Max Kepler,MIN,RF,10,12,12144
Jackie Bradley Jr.,- - -,RF,8,4,12984
Mookie Betts,LAD,RF,15,4,13611
Aristides Aquino,CIN,RF,16,1,15482
Kyle Tucker,HOU,RF,14,3,18345
Adolis Garcia,TEX,RF,3,-2,19287
Lars Nootbaar,STL,RF,3,-1,21454
Anthony Santander,BAL,RF,3,0,14551
Aaron Judge,NYY,RF,2,1,15640
Avisail Garcia,MIA,RF,-3,0,5760
Ramon Laureano,OAK,RF,4,-2,17128
Mitch Haniger,SEA,RF,3,2,14274
Manuel Margot,TBR,RF,0,-2,14712
Mike Yastrzemski,SFG,RF,-1,-1,14854
Dylan Carlson,STL,RF,-5,-1,20126
Kole Calhoun,TEX,RF,-2,0,11200
Seiya Suzuki,CHC,RF,-4,-4,30116
Austin Hays,BAL,RF,1,-2,19363
Charlie Blackmon,COL,RF,-6,-5,7859
Tyler Naquin,- - -,RF,-5,0,13359
Oscar Gonzalez,CLE,RF,-1,-5,20970
Taylor Ward,LAA,RF,-3,2,17548
Robbie Grossman,- - -,RF,2,0,5254
Hunter Renfroe,MIL,RF,2,-2,15464
Alex Verdugo,BOS,RF,-5,-1,17027
Luis Gonzalez,SFG,RF,-1,-4,20332
Victor Reyes,DET,RF,-5,-1,15487
Teoscar Hernandez,TOR,RF,-3,-5,13066
Gavin Sheets,CHW,RF,-8,-5,19901
Randal Grichuk,COL,RF,-1,0,10243
Calvin Mitchell,PIT,RF,-4,-4,22169
Ronald Acuna Jr.,ATL,RF,0,-5,18401
Starling Marte,NYM,RF,4,-2,9241
Nick Castellanos,PHI,RF,-8,-11,11737
Juan Soto,- - -,RF,-2,-12,20123
