Name,Team,Pos,DRS,OAA,playerid
Dansby Swanson,ATL,SS,9,20,18314
Francisco Lindor,NYM,SS,-2,13,12916
Willy Adames,MIL,SS,9,10,15986
Jorge Mateo,BAL,SS,14,11,17273
Nico Hoerner,CHC,SS,10,13,21479
Miguel Rojas,MIA,SS,15,10,7802
Tommy Edman,STL,SS,6,11,19470
Jeremy Pena,HOU,SS,16,7,21636
Xander Bogaerts,BOS,SS,5,5,12161
Brandon Crawford,SFG,SS,-6,7,5343
Ha-seong Kim,SDP,SS,10,6,27506
Nicky Lopez,KCR,SS,0,7,19339
Nick Allen,OAK,SS,6,8,22277
Corey Seager,TEX,SS,-4,4,13624
Trea Turner,LAD,SS,-1,0,16252
Andrew Velazquez,LAA,SS,11,3,14196
Elvis Andrus,- - -,SS,-4,3,8709
Paul DeJong,STL,SS,5,5,18015
Geraldo Perdomo,ARI,SS,-3,0,22799
Javier Baez,DET,SS,-4,2,12979
Jose Iglesias,COL,SS,-4,0,10231
Isiah Kiner-Falefa,NYY,SS,10,-2,16512
Kyle Farmer,CIN,SS,0,-3,14813
Carlos Correa,MIN,SS,3,-3,14162
Wander Franco,TBR,SS,0,0,23667
Tim Anderson,CHW,SS,-7,-2,15172
Jose Barrero,CIN,SS,-2,-2,23378
Bryson Stott,PHI,SS,-5,-3,26294
Bo Bichette,TOR,SS,-16,-7,19612
Amed Rosario,CLE,SS,6,-7,15518
Didi Gregorius,PHI,SS,-5,-5,6012
J.P. Crawford,SEA,SS,-4,-11,15491
Taylor Walls,TBR,SS,11,-7,22458
Bobby Witt Jr.,KCR,SS,-18,-9,25764
CJ Abrams,- - -,SS,-5,-8,25768
Oneil Cruz,PIT,SS,1,-9,21711
Luis Garcia,WSN,SS,-17,-13,20391
