Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Xander Bogaerts,BOS,29,15,0.48,0.323,134,3.5,6.1,12161
Carlos Correa,MIN,27,22,0.5,0.363,140,1.7,4.4,14162
Trea Turner,LAD,29,21,0.34,0.335,128,6.4,6.3,16252
Bo Bichette,TOR,24,24,0.26,0.334,129,3.8,4.5,19612
Francisco Lindor,NYM,28,26,0.44,0.331,127,5.6,6.8,12916
Dansby Swanson,ATL,28,25,0.27,0.337,116,4.8,6.4,18314
Corey Seager,TEX,28,33,0.56,0.372,117,3.2,4.5,13624
Willy Adames,MIL,26,31,0.3,0.323,109,3.6,4.7,15986
Wander Franco,TBR,21,6,0.79,0.331,116,6.4,2.3,23667
Tim Anderson,CHW,29,6,0.25,0.34,110,5.6,2,15172
Oneil Cruz,PIT,23,17,0.22,0.304,106,6.4,1.2,21711
Nico Hoerner,CHC,25,10,0.49,0.301,106,6.4,4,21479
Tommy Edman,STL,27,13,0.41,0.308,108,7.2,5.6,19470
Ha-seong Kim,SDP,26,11,0.51,0.309,105,4.8,3.7,27506
Jose Iglesias,COL,32,3,0.3,0.281,85,2.2,1,10231
Amed Rosario,CLE,26,11,0.23,0.31,103,6.7,2.4,15518
Bobby Witt Jr.,KCR,22,20,0.22,0.313,99,7.2,2.3,25764
Elvis Andrus,- - -,33,17,0.42,0.293,105,4.5,3.5,8709
Jeremy Pena,HOU,24,22,0.16,0.3,102,5.3,3.4,21636
Kyle Farmer,CIN,31,14,0.33,0.311,92,3,1.4,14813
J.P. Crawford,SEA,27,6,0.85,0.315,104,3.2,2,15491
Luis Garcia,WSN,22,7,0.13,0.305,93,2.9,0,20391
Kevin Newman,PIT,28,2,0.33,0.285,94,5.4,1.3,17696
Javier Baez,DET,29,17,0.18,0.285,90,5.2,2,12979
Bryson Stott,PHI,24,10,0.4,0.284,84,5.5,1.4,26294
Brandon Crawford,SFG,35,9,0.4,0.287,87,3.2,2,5343
Joey Wendle,MIA,32,3,0.3,0.276,87,4.5,1.2,13853
Isiah Kiner-Falefa,NYY,27,4,0.49,0.29,85,5.2,1.3,16512
Jorge Mateo,BAL,27,13,0.18,0.272,82,8.4,2.8,17273
Miguel Rojas,MIA,33,6,0.43,0.293,73,3.9,1.2,7802
CJ Abrams,- - -,21,2,0.1,0.266,71,5.8,-0.3,25768
Geraldo Perdomo,ARI,22,5,0.49,0.269,59,5.5,0.6,22799
Taylor Walls,TBR,25,8,0.43,0.27,66,5.5,-0.5,22458
Nicky Lopez,KCR,27,0,0.46,0.273,57,6.3,1.2,19339
Nick Allen,OAK,23,4,0.3,0.238,61,3.2,0.5,22277
Andrew Velazquez,LAA,27,9,0.13,0.246,50,6.1,0.3,14196
