Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,Actual Salary
"Alvarez, Yordan",HOU,DH,25,37,0.74,0.462,185,3,6.6,764600
"Blackmon, Charlie",COL,DH,35,16,0.29,0.301,89,4.5,0.1,21000000
"Cabrera, Miguel",DET,DH,39,5,0.28,0.275,79,1.3,-1.5,32000000
"Cooper, Garrett",MIA,DH,31,9,0.34,0.341,115,1.8,1.4,2500000
"Cruz, Nelson",WSN,DH,41,10,0.41,0.32,85,3,-0.8,12000000
"Davis, J.D.",SFG,DH,29,12,0.32,0.353,119,2.9,0.9,1789440
"Harper, Bryce",PHI,DH,29,18,0.53,0.38,138,4.6,2.4,26000000
"Jimenez, Eloy",CHW,DH,25,16,0.39,0.365,144,1,1.7,6500000
"Mancini, Trey",HOU,DH,30,18,0.39,0.327,104,1.5,0.9,4821415
"Martinez, J.D.",BOS,DH,34,16,0.36,0.349,119,2.1,1,19350000
"McCutchen, Andrew",MIL,DH,35,17,0.46,0.325,98,3,0.3,8500000
"Ohtani, Shohei",LAA,DH,27,34,0.45,0.385,142,4.7,3.8,5500000
"Ozuna, Marcell",ATL,DH,31,23,0.25,0.337,89,2.4,-0.6,16000000
"Pujols, Albert",STL,DH,42,24,0.51,0.365,151,1.4,1.8,2500000
"Ramirez, Harold",TBR,DH,27,6,0.26,0.314,119,2.2,1.2,728000
"Reyes, Franmil",CHC,DH,26,14,0.19,0.275,80,3.2,-1.1,4550000
"Ruf, Darin",NYM,DH,35,11,0.43,0.31,89,3.4,-0.7,3000000
"Solano, Donovan",CIN,DH,34,4,0.31,0.315,98,0.7,0.5,4500000
"Stanton, Giancarlo",NYY,DH,32,31,0.36,0.351,115,0.9,1.2,29000000
"Vogelbach, Daniel",NYM,DH,29,18,0.64,0.35,128,1.5,1.5,800000
"Voit, Luke",WSN,DH,31,22,0.31,0.322,102,1.5,0.2,5450000
