Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR
A.J. Minter,ATL,RP,28,6.27,2.13,2.68,96.7,2.1
A.J. Puk,OAK,RP,27,3.3,3.15,3.67,96.6,0.3
Aaron Loup,LAA,RP,34,2.36,3.79,4.11,91.2,0.4
Adam Cimber,TOR,RP,31,4.46,3.53,3.87,86.5,0.9
Adam Ottavino,NYM,RP,36,4.94,2.45,2.79,94.4,1.1
Alex Lange,DET,RP,26,2.65,3.09,3.23,96.2,0.7
Alex Vesia,LAD,RP,26,3.29,2.68,3.03,94.2,1.5
Alexis Diaz,CIN,RP,25,2.52,3.29,3.97,95.7,1
Andre Pallante,STL,RP,23,1.38,3.92,4,95.2,0
Andres Machado,WSN,RP,29,1.77,4.42,4.55,95.4,-0.1
Andres Munoz,SEA,RP,23,6.4,1.74,2.04,100.2,1.9
Andrew Bellatti,PHI,RP,30,3.17,2.86,3.36,94.4,1
Andrew Chafin,DET,RP,32,3.53,2.97,3.27,91.6,0.9
Anthony Bass,- - -,RP,34,3.65,3.11,3.34,95.3,1.3
Austin Pruitt,OAK,RP,32,4,3.85,4.19,91.5,-0.5
Brad Boxberger,MIL,RP,34,2.52,3.65,4.06,92.8,0.7
Brandon Hughes,CHC,RP,26,3.24,3.14,3.78,93.2,-0.3
Brent Suter,MIL,RP,32,2.41,3.96,4.18,86.6,-0.2
Brock Burke,TEX,RP,25,3.75,3.05,3.49,95,0.9
Brooks Raley,TBR,RP,34,4.07,2.92,3.28,90.7,0.9
Bryan Abreu,HOU,RP,25,3.38,2.56,2.69,97.2,1.4
Bryan Baker,BAL,RP,27,2.88,3.33,3.48,96.3,1.2
Bryan Shaw,CLE,RP,34,2.23,3.85,4.14,93.2,-0.4
Caleb Smith,ARI,RP,30,1.75,4.54,5.06,92,-0.5
Caleb Thielbar,MIN,RP,35,4.44,2.59,3.07,92.9,1.6
Camilo Doval,SFG,RP,24,2.67,3.07,3.04,99,1.2
Carl Edwards Jr.,WSN,RP,30,2.24,3.88,4.09,94.7,0.1
Carlos Estevez,COL,RP,29,2.35,3.88,4.27,97.6,0.4
Chase De Jong,PIT,RP,28,1.97,4.38,4.96,92.9,-0.2
Chris Martin,- - -,RP,36,14.8,1.87,2.01,95.2,1.6
Chris Stratton,- - -,RP,31,2.4,3.76,3.93,92.9,0.7
Cionel Perez,BAL,RP,26,2.62,3.48,3.56,96.9,1
Clay Holmes,NYY,RP,29,3.25,2.28,2.9,97.1,1.1
Colin Poche,TBR,RP,28,2.91,3.49,4.05,93.3,-0.2
Collin McHugh,ATL,RP,35,5.36,2.78,3.24,91.3,1.4
