Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR,Actual Salary
"Abreu, Bryan",HOU,RP,25,3.38,2.56,2.69,97.2,1.4,719600
"Acevedo, Domingo",OAK,RP,28,3.41,3.56,3.88,93,0,700000
"Adam, Jason",TBR,RP,30,4.41,2.57,3.17,94.8,1.3,900000
"Akin, Keegan",BAL,RP,27,3.84,3.21,3.35,93.6,0.4,709500
"Alvarado, Jose",PHI,RP,27,3.38,2.37,2.16,99.6,1.7,1900000
"Armstrong, Shawn",TBR,RP,31,3.75,3.19,3.56,95.6,0.4,700000
"Baker, Bryan",BAL,RP,27,2.88,3.33,3.48,96.3,1.2,700500
"Bard, Daniel",COL,RP,37,2.76,3.17,3.3,98,1.8,4400000
"Barlow, Scott",KCR,RP,29,3.5,3.1,3.42,93.7,0.9,2400000
"Barria, Jaime",LAA,RP,25,3.4,3.97,4.25,91.9,0.2,730000
"Bass, Anthony",TOR,RP,34,3.65,3.11,3.34,95.3,1.3,3000000
"Bautista, Felix",BAL,RP,27,3.83,2.49,2.77,99.2,1.4,700000
"Bednar, David",PIT,RP,27,4.31,2.53,2.83,96.5,1.5,715000
"Bellatti, Andrew",PHI,RP,30,3.17,2.86,3.36,94.4,1,700000
"Bickford, Phil",LAD,RP,26,4.79,2.96,3.57,94.2,0.1,700000
"Boxberger, Brad",MIL,RP,34,2.52,3.65,4.06,92.8,0.7,1750000
"Brasier, Ryan",BOS,RP,34,4.92,3.12,3.49,96,0.5,1400000
"Brebbia, John",SFG,RP,32,2.76,4.06,4.51,94.4,0.6,837500
"Burke, Brock",TEX,RP,25,3.75,3.05,3.49,95,0.9,714000
"Bush, Matt",MIL,RP,36,4.25,2.72,3.27,97.3,0.1,825000
"Castillo, Diego",SEA,RP,28,2.41,3.67,3.85,95.3,0.3,2150000
"Chafin, Andrew",DET,RP,32,3.53,2.97,3.27,91.6,0.9,5500000
"Chavez, Jesse",LAA,RP,38,3.7,3.13,3.23,91.1,0.7,1250000
"Cimber, Adam",TOR,RP,31,4.46,3.53,3.87,86.5,0.9,1575000
"Cishek, Steve",WSN,RP,36,2.74,3.45,4.16,89.6,-0.3,1750000
"Clase, Emmanuel",CLE,RP,24,7.7,1.95,2.18,99.6,2.4,1500000
"Coleman, Dylan",KCR,RP,25,1.92,4.04,4.38,97.6,0.4,700650
"Crismatt, Nabil",SDP,RP,27,3.21,3.32,3.44,90.5,0.7,721500
"Crowe, Wil",PIT,RP,27,1.76,4.22,4.32,94.7,0,715000
"De Jong, Chase",PIT,RP,28,1.97,4.38,4.96,92.9,-0.2,700000
"De Los Santos, Enyel",CLE,RP,26,3.59,2.98,3.17,95.3,1,700000
"Diaz, Alexis",CIN,RP,25,2.52,3.29,3.97,95.7,1,700000
"Diaz, Edwin",NYM,RP,28,6.56,1.11,1.04,99.1,3,10200000
"Diekman, Jake",CHW,RP,35,1.88,3.93,4.33,95.6,-0.6,3500000
"Dominguez, Seranthony",PHI,RP,27,2.77,3.15,3.26,98,1,725000
"Doval, Camilo",SFG,RP,24,2.67,3.07,3.04,99,1.2,703750
"Duran, Jhoan",MIN,RP,24,5.56,1.96,2.11,100.9,1.5,700000
"Edwards Jr., Carl",WSN,RP,30,2.24,3.88,4.09,94.7,0.1,700000
"Effross, Scott",NYY,RP,28,4.13,2.88,3.1,90.6,1.3,701500
"Estevez, Carlos",COL,RP,29,2.35,3.88,4.27,97.6,0.4,3025000
"Festa, Matthew",SEA,RP,29,3.56,2.97,3.47,92.6,-0.1,700000
"Finnegan, Kyle",WSN,RP,30,3.18,3.16,3.22,97.1,0.6,725900
"Floro, Dylan",MIA,RP,31,3.2,3.51,3.6,92.6,0.7,3000000
"Foley, Jason",DET,RP,26,3.91,3.36,3.56,96.3,0.8,701400
"Fulmer, Michael",MIN,RP,29,2.18,4.01,4.45,94.4,0.7,4950000
"Gallegos, Giovanny",STL,RP,30,4.06,2.89,3.51,94.4,1.3,2410000
"Garcia, Jarlin",SFG,RP,29,3.11,3.78,4.25,93.9,-0.1,1725000
"Garcia, Luis",SDP,RP,35,4,2.85,3.11,98.7,1.6,3000000
"Garcia, Yimi",TOR,RP,31,3.63,3.43,4.09,94.7,0.9,4000000
"Givens, Mychal",NYM,RP,32,2.84,3.27,3.65,93.5,0.2,3500000
"Graveman, Kendall",CHW,RP,31,2.54,3.39,3.44,96.5,0.7,8000000
"Hader, Josh",SDP,RP,28,3.86,2.38,2.94,97.5,0.8,11000000
"Helsley, Ryan",STL,RP,27,4.7,2.02,2.6,99.7,2,722450
"Hendriks, Liam",CHW,RP,33,5.31,2.14,2.64,97.6,1.6,13000000
"Hentges, Sam",CLE,RP,25,3.79,2.51,2.67,95.8,1.1,702500
"Herget, Jimmy",LAA,RP,28,4.07,3.27,3.54,90.6,1.5,720000
"Holmes, Clay",NYY,RP,29,3.25,2.28,2.9,97.1,1.1,1100000
"Hughes, Brandon",CHC,RP,26,3.24,3.14,3.78,93.2,-0.3,700000
"Iglesias, Raisel",ATL,RP,32,5.57,2.46,2.99,95,1.6,10000000
"Jansen, Kenley",ATL,RP,34,3.86,2.75,3.45,93.7,1.1,16000000
"Jax, Griffin",MIN,RP,27,3.9,2.98,3.32,95.5,0.9,700000
"Jimenez, Joe",DET,RP,27,5.92,2.3,2.7,95.8,1.4,1790000
"Kennedy, Ian",ARI,RP,37,2,4.57,5.06,93.4,-0.9,4500000
"Kimbrel, Craig",LAD,RP,34,2.57,3.44,4.04,95.8,0.9,16000000
"King, John",TEX,RP,27,2.14,3.4,3.66,92.4,0,714000
"King, Michael",NYY,RP,27,4.13,2.44,2.42,95.9,1.7,722500
"Kuhnel, Joel",CIN,RP,27,4,3.19,3.52,96.1,0.3,700000
"Lange, Alex",DET,RP,26,2.65,3.09,3.23,96.2,0.7,703700
"Lee, Dylan",ATL,RP,27,5.9,2.64,3.1,92.2,1.1,700000
"Leiter Jr., Mark",CHC,RP,31,3.44,2.89,3.19,91.1,0.7,700000
"Lopez, Jorge",MIN,RP,29,2.32,3.46,3.69,97.7,0.8,1500000
"Lopez, Reynaldo",CHW,RP,28,5.45,3.08,3.35,97.1,1.9,2625000
"Loup, Aaron",LAA,RP,34,2.36,3.79,4.11,91.2,0.4,7500000
"Luetge, Lucas",NYY,RP,35,3.53,3.41,3.95,87.6,0.9,905000
"Lugo, Seth",NYM,RP,32,3.83,3.14,3.51,94.5,0.2,3925000
"Machado, Andres",WSN,RP,29,1.77,4.42,4.55,95.4,-0.1,708200
"Mantiply, Joe",ARI,RP,31,10.17,2.4,2.52,90.5,1.2,717000
"Martin, Chris",LAD,RP,36,14.8,1.87,2.01,95.2,1.6,2500000
"Martinez, Nick",SDP,RP,31,3.43,3.42,3.73,94.1,0.4,4000000
"Maton, Phil",HOU,RP,29,3.04,3.33,3.82,90.9,-0.1,1550000
"McHugh, Collin",ATL,RP,35,5.36,2.78,3.24,91.3,1.4,4000000
"Melancon, Mark",ARI,RP,37,1.67,4.62,4.63,91.2,0.1,6000000
