Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA
Abraham Toro,SEA,2B,25,10,0.34,0.284,62,4.1,-0.7,-2,1
Adam Frazier,SEA,2B,30,3,0.63,0.297,81,4.9,1.1,-1,6
Andres Gimenez,CLE,2B,23,17,0.3,0.326,140,5.8,6.1,16,12
Brendan Rodgers,COL,2B,25,13,0.46,0.326,92,2.6,1.7,22,3
Bryson Stott,PHI,2B,24,10,0.4,0.284,84,5.5,1.4,1,3
Cesar Hernandez,WSN,2B,32,1,0.39,0.29,79,5,0.5,-8,-4
Gavin Lux,LAD,2B,24,6,0.49,0.314,113,6.2,3,3,3
Gleyber Torres,NYY,2B,25,24,0.3,0.319,115,4.1,2.7,9,0
Jake Cronenworth,SDP,2B,28,17,0.53,0.303,109,4.3,4.1,2,4
Jean Segura,PHI,2B,32,10,0.43,0.303,105,4,1.7,-1,4
Jeff McNeil,NYM,2B,30,9,0.66,0.323,143,3.3,5.9,3,7
Jonathan India,CIN,2B,25,10,0.33,0.301,95,3.5,0.4,-14,-9
Jonathan Schoop,DET,2B,30,11,0.18,0.268,58,4.4,1.5,8,27
Jorge Polanco,MIN,2B,28,16,0.67,0.358,119,2.3,1.8,-1,-9
Jose Altuve,HOU,2B,32,28,0.76,0.354,164,5,6.6,-15,2
Josh Harrison,CHW,2B,34,7,0.3,0.284,98,4,1.4,3,3
Ketel Marte,ARI,2B,28,12,0.54,0.315,102,4.2,1.4,-6,-3
Kolten Wong,MIL,2B,31,15,0.52,0.305,117,6.1,2.5,-1,-9
Leury Garcia,CHW,2B,31,3,0.11,0.258,39,4.3,-1.1,-1,0
Luis Guillorme,NYM,2B,27,2,0.74,0.302,106,2.9,1.3,1,3
Luis Rengifo,LAA,2B,25,17,0.22,0.296,103,4,1.6,-1,-3
Marcus Semien,TEX,2B,31,26,0.44,0.306,107,6.2,4.2,11,8
Nicky Lopez,KCR,2B,27,0,0.46,0.273,57,6.3,1.2,-8,4
Nolan Gorman,STL,2B,22,14,0.27,0.341,107,3,0.5,-5,-12
Rougned Odor,BAL,2B,28,13,0.29,0.277,80,5.1,0.4,-9,-5
Santiago Espinal,TOR,2B,27,7,0.53,0.298,99,2.7,2.3,4,10
Thairo Estrada,SFG,2B,26,14,0.37,0.299,106,5.8,2.7,-12,-1
Tommy Edman,STL,2B,27,13,0.41,0.308,108,7.2,5.6,12,8
Tony Kemp,OAK,2B,30,7,0.65,0.267,91,5.1,1.5,-2,5
Trevor Story,BOS,2B,29,16,0.26,0.301,100,5.4,2.4,6,10
Whit Merrifield,- - -,2B,33,11,0.45,0.288,88,5.2,1.5,-5,3
Wilmer Flores,SFG,2B,30,19,0.57,0.31,103,2.1,1.4,-9,-3
