Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA
Amed Rosario,CLE,SS,26,11,0.23,0.31,103,6.7,2.4,6,-7
Andrew Velazquez,LAA,SS,27,9,0.13,0.246,50,6.1,0.3,11,3
Bo Bichette,TOR,SS,24,24,0.26,0.334,129,3.8,4.5,-16,-7
Bobby Witt Jr.,KCR,SS,22,20,0.22,0.313,99,7.2,2.3,-18,-9
Brandon Crawford,SFG,SS,35,9,0.4,0.287,87,3.2,2,-6,7
Bryson Stott,PHI,SS,24,10,0.4,0.284,84,5.5,1.4,-5,-3
Carlos Correa,MIN,SS,27,22,0.5,0.363,140,1.7,4.4,3,-3
CJ Abrams,- - -,SS,21,2,0.1,0.266,71,5.8,-0.3,-5,-8
Corey Seager,TEX,SS,28,33,0.56,0.372,117,3.2,4.5,-4,4
Dansby Swanson,ATL,SS,28,25,0.27,0.337,116,4.8,6.4,9,20
Elvis Andrus,- - -,SS,33,17,0.42,0.293,105,4.5,3.5,-4,3
Francisco Lindor,NYM,SS,28,26,0.44,0.331,127,5.6,6.8,-2,13
Geraldo Perdomo,ARI,SS,22,5,0.49,0.269,59,5.5,0.6,-3,0
Ha-seong Kim,SDP,SS,26,11,0.51,0.309,105,4.8,3.7,10,6
Isiah Kiner-Falefa,NYY,SS,27,4,0.49,0.29,85,5.2,1.3,10,-2
J.P. Crawford,SEA,SS,27,6,0.85,0.315,104,3.2,2,-4,-11
Javier Baez,DET,SS,29,17,0.18,0.285,90,5.2,2,-4,2
Jeremy Pena,HOU,SS,24,22,0.16,0.3,102,5.3,3.4,16,7
Jorge Mateo,BAL,SS,27,13,0.18,0.272,82,8.4,2.8,14,11
Jose Iglesias,COL,SS,32,3,0.3,0.281,85,2.2,1,-4,0
Kyle Farmer,CIN,SS,31,14,0.33,0.311,92,3,1.4,0,-3
Luis Garcia,WSN,SS,22,7,0.13,0.305,93,2.9,0,-17,-13
Miguel Rojas,MIA,SS,33,6,0.43,0.293,73,3.9,1.2,15,10
Nick Allen,OAK,SS,23,4,0.3,0.238,61,3.2,0.5,6,8
Nicky Lopez,KCR,SS,27,0,0.46,0.273,57,6.3,1.2,0,7
Nico Hoerner,CHC,SS,25,10,0.49,0.301,106,6.4,4,10,13
Oneil Cruz,PIT,SS,23,17,0.22,0.304,106,6.4,1.2,1,-9
Taylor Walls,TBR,SS,25,8,0.43,0.27,66,5.5,-0.5,11,-7
Tim Anderson,CHW,SS,29,6,0.25,0.34,110,5.6,2,-7,-2
Tommy Edman,STL,SS,27,13,0.41,0.308,108,7.2,5.6,6,11
Trea Turner,LAD,SS,29,21,0.34,0.335,128,6.4,6.3,-1,0
Wander Franco,TBR,SS,21,6,0.79,0.331,116,6.4,2.3,0,0
Willy Adames,MIL,SS,26,31,0.3,0.323,109,3.6,4.7,9,10
Xander Bogaerts,BOS,SS,29,15,0.48,0.323,134,3.5,6.1,5,5
