Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR
Aaron Nola,PHI,SP,29,8.1,2.8,2.77,92.6,6.3
Adam Wainwright,STL,SP,40,2.65,4.34,4.1,88.5,2.8
Adrian Houser,MIL,SP,29,1.43,5.09,4.7,93.9,1
Alek Manoah,TOR,SP,24,3.53,3.85,3.97,93.6,4.1
Alex Cobb,SFG,SP,34,3.51,3.15,2.89,94.8,3.7
Alex Wood,SFG,SP,31,4.37,3.45,3.41,92.4,1.7
Blake Snell,SDP,SP,29,3.35,3.2,3.21,95.9,3.7
Brad Keller,KCR,SP,26,1.77,4.7,4.4,93.9,0.6
Brady Singer,KCR,SP,25,4.24,3.43,3.31,93.8,2.9
Brandon Woodruff,MIL,SP,29,4.52,3.03,3.14,96.2,3.5
Cal Quantrill,CLE,SP,27,2.72,4.49,4.39,93.6,2.2
Carlos Carrasco,NYM,SP,35,3.71,3.6,3.45,92.9,2.4
Carlos Rodon,SFG,SP,29,4.56,2.83,2.91,95.6,6.2
Chad Kuhl,COL,SP,29,1.9,4.8,4.78,92.8,0.5
Charlie Morton,ATL,SP,38,3.25,3.48,3.6,94.9,1.5
Chris Archer,MIN,SP,33,1.75,4.76,4.57,93.1,0.5
Chris Bassitt,NYM,SP,33,3.41,3.75,3.72,92.9,2.7
Chris Flexen,SEA,SP,27,1.89,5.04,5.05,91.7,0.5
Clayton Kershaw,LAD,SP,34,5.96,2.98,2.83,90.8,3.8
Cole Irvin,OAK,SP,28,3.56,4.37,4.35,90.6,1.4
Corbin Burnes,MIL,SP,27,4.76,2.91,2.85,96.3,4.6
Corey Kluber,TBR,SP,36,6.62,3.85,3.92,88.9,3
Cristian Javier,HOU,SP,25,3.53,3.28,3.6,93.9,3.1
Dakota Hudson,STL,SP,27,1.3,5.08,4.8,91.8,1
Dane Dunning,TEX,SP,27,2.21,4.17,4.03,89.5,0.9
Daniel Lynch,KCR,SP,25,2.35,4.34,4.3,94,0.7
Dean Kremer,BAL,SP,26,2.63,4.52,4.41,93.2,1.7
Drew Rasmussen,TBR,SP,26,4.03,3.74,3.56,95.5,2.9
Drew Smyly,CHC,SP,33,3.5,4.06,4.18,92.6,1.3
Dylan Bundy,MIN,SP,29,3.36,4.65,4.7,89.2,0.7
Dylan Cease,CHW,SP,26,2.91,3.48,3.5,96.8,4.4
Eric Lauer,MIL,SP,27,2.66,4.07,4.08,93.4,1.1
Erick Fedde,WSN,SP,29,1.62,5,4.74,92.6,0.4
Framber Valdez,HOU,SP,28,2.9,3.14,2.99,94,4.4
Frankie Montas,- - -,SP,29,3.3,3.74,3.61,95.9,2
George Kirby,SEA,SP,24,6.05,3.32,3.33,95.2,3
German Marquez,COL,SP,27,2.38,4.27,4.02,95.4,1.4
Gerrit Cole,NYY,SP,31,5.14,2.77,2.77,97.8,3.3
Glenn Otto,TEX,SP,26,1.73,4.83,4.82,92.2,0
Graham Ashcraft,CIN,SP,24,2.37,4.22,4.09,97.2,1.3
Hunter Greene,CIN,SP,22,3.42,3.33,3.64,99,1.6
