Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA,Actual Salary
"Abrams, CJ",WSN,SS,21,2,0.1,0.266,71,5.8,-0.3,-5,-8,"700,000"
"Adames, Willy",MIL,SS,26,31,0.3,0.323,109,3.6,4.7,9,10,"4,600,000"
"Allen, Nick",OAK,SS,23,4,0.3,0.238,61,3.2,0.5,6,8,"700,000"
"Anderson, Tim",CHW,SS,29,6,0.25,0.34,110,5.6,2,-7,-2,"9,500,000"
"Andrus, Elvis",CHW,SS,33,17,0.42,0.293,105,4.5,3.5,-4,3,"700,000"
"Baez, Javier",DET,SS,29,17,0.18,0.285,90,5.2,2,-4,2,"20,000,000"
"Bichette, Bo",TOR,SS,24,24,0.26,0.334,129,3.8,4.5,-16,-7,"825,000"
"Bogaerts, Xander",BOS,SS,29,15,0.48,0.323,134,3.5,6.1,5,5,"20,000,000"
"Correa, Carlos",MIN,SS,27,22,0.5,0.363,140,1.7,4.4,3,-3,"35,100,000"
"Crawford, Brandon",SFG,SS,35,9,0.4,0.287,87,3.2,2,-6,7,"16,000,000"
"Crawford, J.P.",SEA,SS,27,6,0.85,0.315,104,3.2,2,-4,-11,"6,000,000"
"Cruz, Oneil",PIT,SS,23,17,0.22,0.304,106,6.4,1.2,1,-9,"700,000"
"Edman, Tommy",STL,SS,27,13,0.41,0.308,108,7.2,5.6,6,11,"722,900"
"Farmer, Kyle",CIN,SS,31,14,0.33,0.311,92,3,1.4,0,-3,"3,155,000"
"Franco, Wander",TBR,SS,21,6,0.79,0.331,116,6.4,2.3,0,0,"1,454,545"
"Garcia, Luis",WSN,SS,22,7,0.13,0.305,93,2.9,0,-17,-13,"700,000"
"Hoerner, Nico",CHC,SS,25,10,0.49,0.301,106,6.4,4,10,13,"720,000"
"Iglesias, Jose",COL,SS,32,3,0.3,0.281,85,2.2,1,-4,0,"5,000,000"
"Kim, Ha-seong",SDP,SS,26,11,0.51,0.309,105,4.8,3.7,10,6,"7,000,000"
"Kiner-Falefa, Isiah",NYY,SS,27,4,0.49,0.29,85,5.2,1.3,10,-2,"4,700,000"
"Lindor, Francisco",NYM,SS,28,26,0.44,0.331,127,5.6,6.8,-2,13,"34,100,000"
"Mateo, Jorge",BAL,SS,27,13,0.18,0.272,82,8.4,2.8,14,11,"709,500"
"Pena, Jeremy",HOU,SS,24,22,0.16,0.3,102,5.3,3.4,16,7,"700,000"
"Perdomo, Geraldo",ARI,SS,22,5,0.49,0.269,59,5.5,0.6,-3,0,"701,300"
"Rojas, Miguel",MIA,SS,33,6,0.43,0.293,73,3.9,1.2,15,10,"5,500,000"
"Rosario, Amed",CLE,SS,26,11,0.23,0.31,103,6.7,2.4,6,-7,"4,950,000"
"Seager, Corey",TEX,SS,28,33,0.56,0.372,117,3.2,4.5,-4,4,"33,000,000"
"Stott, Bryson",PHI,SS,24,10,0.4,0.284,84,5.5,1.4,-5,-3,"700,000"
"Swanson, Dansby",ATL,SS,28,25,0.27,0.337,116,4.8,6.4,9,20,"10,000,000"
"Turner, Trea",LAD,SS,29,21,0.34,0.335,128,6.4,6.3,-1,0,"21,000,000"
"Velazquez, Andrew",LAA,SS,27,9,0.13,0.246,50,6.1,0.3,11,3,"700,000"
"Walls, Taylor",TBR,SS,25,8,0.43,0.27,66,5.5,-0.5,11,-7,"704,000"
"Witt Jr., Bobby",KCR,SS,22,20,0.22,0.313,99,7.2,2.3,-18,-9,"700,000"
