Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA,Actual Salary
"Anderson, Brian",MIA,3B,29,8,0.37,0.309,90,3.3,0.5,-4,-2,4475000
"Arenado, Nolan",STL,3B,31,30,0.72,0.339,151,2.6,7.3,19,15,35075000
"Bohm, Alec",PHI,3B,25,13,0.28,0.333,98,3.4,1.5,-17,-9,715000
"Bregman, Alex",HOU,3B,28,23,1.13,0.35,136,2,5.5,-4,5,12666666
"Candelario, Jeimer",DET,3B,28,13,0.26,0.292,80,2.8,-0.1,-1,-6,5800000
"Chapman, Matt",TOR,3B,29,27,0.4,0.341,117,2.9,4.1,2,1,12500000
"Devers, Rafael",BOS,3B,25,27,0.44,0.361,141,3.1,4.9,-6,-2,11200000
"Diaz, Yandy",TBR,3B,30,9,1.3,0.365,146,2.2,3.8,-14,-8,2800000
"Donaldson, Josh",NYY,3B,36,15,0.36,0.299,97,2.2,1.6,7,7,23000000
"Drury, Brandon",SDP,3B,29,28,0.3,0.316,123,3.5,3,-4,0,900000
"Escobar, Eduardo",NYM,3B,33,20,0.31,0.314,106,3.1,2.3,-11,-7,10000000
"Franco, Maikel",WSN,3B,29,9,0.16,0.272,64,2,-0.8,-10,-4,1250000
"Hayes, Ke'Bryan",PIT,3B,25,7,0.39,0.303,88,5.3,3,24,18,10000000
"LeMahieu, DJ",NYY,3B,33,12,0.94,0.344,116,2.8,3,7,4,15000000
"Machado, Manny",SDP,3B,29,32,0.47,0.338,152,4.3,7.4,-3,8,32000000
"McMahon, Ryan",COL,3B,27,20,0.38,0.33,95,4.2,3.1,10,10,5000000
"Moncada, Yoan",CHW,3B,27,12,0.28,0.289,76,3.1,0.9,2,4,13800000
"Muncy, Max",LAD,3B,31,21,0.64,0.339,106,3,2.4,7,-2,11500000
"Paredes, Isaac",TBR,3B,23,20,0.66,0.297,116,1.7,2.4,5,2,700000
"Peterson, Jace",MIL,3B,32,8,0.39,0.303,96,6.6,2.2,11,7,1825000
"Ramirez, Jose",CLE,3B,29,29,0.84,0.32,139,5.3,6.2,2,1,22000000
"Riley, Austin",ATL,3B,25,38,0.34,0.378,142,3,5.5,6,-6,3950000
"Rivera, Emmanuel",ARI,3B,26,12,0.28,0.31,95,4,1,6,3,700000
"Rojas, Josh",ARI,3B,28,9,0.56,0.308,108,5.6,2.7,-1,-6,730900
"Suarez, Eugenio",SEA,3B,30,31,0.37,0.339,131,2.2,4.1,-2,-1,11285714
"Turner, Justin",LAD,3B,37,13,0.56,0.339,123,2.8,2.4,1,-2,20000000
"Urias, Luis",MIL,3B,25,16,0.51,0.326,110,2.3,2.3,2,-1,2550000
"Urias, Ramon",BAL,3B,28,16,0.31,0.32,104,2.7,2.6,14,7,705500
"Urshela, Gio",MIN,3B,30,13,0.43,0.323,119,3,2.4,4,-5,6550000
"Wisdom, Patrick",CHC,3B,30,25,0.29,0.295,104,3.7,1.1,-6,-11,730000
