Name,Team,Pos,DRS,FRM,playerid
Jose Trevino,NYY,C,21,19,16725
J.T. Realmuto,PHI,C,11,1.1,11739
Sean Murphy,OAK,C,1,8.7,19352
Cal Raleigh,SEA,C,14,8.2,21534
Travis d'Arnaud,ATL,C,6,8.9,7739
Jonah Heim,TEX,C,8,9.1,16930
Adley Rutschman,BAL,C,18,9.1,26288
Tomas Nido,NYM,C,8,7.2,13755
Christian Vazquez,- - -,C,11,4.9,9774
Alejandro Kirk,TOR,C,9,7.6,22581
Kyle Higashioka,NYY,C,3,5.4,5517
Yadier Molina,STL,C,9,5.7,7007
Reese McGuire,- - -,C,2,3.6,15674
Omar Narvaez,MIL,C,2,7.5,13338
Brian Serven,COL,C,5,6.8,19422
Christian Bethancourt,- - -,C,4,2.4,10028
Victor Caratini,MIL,C,2,3.7,14968
Austin Hedges,CLE,C,8,4.4,12976
Seby Zavala,CHW,C,3,5.7,18887
Tyler Heineman,- - -,C,5,4.8,13897
Martin Maldonado,HOU,C,2,-0.8,6887
Gary Sanchez,MIN,C,1,1.9,11442
Yan Gomes,CHC,C,5,0,9627
Austin Barnes,LAD,C,3,3.3,12158
Jason Delay,PIT,C,2,3.5,19806
Keibert Ruiz,WSN,C,-5,-4.3,19610
James McCann,NYM,C,2,2.1,12859
Yasmani Grandal,CHW,C,-5,5.1,11368
Max Stassi,LAA,C,0,-0.5,10059
Ryan Jeffers,MIN,C,4,3.3,24618
Nick Fortes,MIA,C,4,1.8,21538
Luke Maile,CLE,C,0,-0.5,13355
Will Smith,LAD,C,7,0.5,19197
Danny Jansen,TOR,C,5,-1.4,16535
Carson Kelly,ARI,C,-1,-0.7,13620
Willson Contreras,CHC,C,-1,-3.5,11609
Tucker Barnhart,DET,C,-8,-2.3,10200
Austin Wynns,SFG,C,-1,-0.1,15271
Joey Bart,SFG,C,-6,-3.7,21524
Tyler Stephenson,CIN,C,-3,-1.9,17988
William Contreras,ATL,C,-4,-2.8,20503
Francisco Mejia,TBR,C,0,-4.8,16403
Jorge Alfaro,SDP,C,-4,-3.8,12180
Curt Casali,- - -,C,2,-2.9,12510
Jacob Stallings,MIA,C,-9,-4.3,13723
Kevin Plawecki,- - -,C,-10,0.2,13807
Eric Haase,DET,C,-9,-6.6,14111
Kurt Suzuki,LAA,C,-7,-4.4,8259
Andrew Knizner,STL,C,-9,-8.7,19514
Austin Nola,SDP,C,-6,-8.3,15941
Salvador Perez,KCR,C,-4,-12.6,7304
Riley Adams,WSN,C,-6,-7.9,19864
Elias Diaz,COL,C,-15,-15,11680
Robinson Chirinos,BAL,C,-10,-14.9,3142
MJ Melendez,KCR,C,-18,-15.7,22197
