Name,Team,Pos,DRS,OAA,playerid
Christian Walker,ARI,1B,17,14,13419
Lewin Diaz,MIA,1B,5,4,18365
Owen Miller,CLE,1B,1,3,24655
Garrett Cooper,MIA,1B,-4,1,15279
Carlos Santana,- - -,1B,3,3,2396
Luis Arraez,MIN,1B,4,1,18568
Frank Schwindel,CHC,1B,-2,-1,15351
Josh Naylor,CLE,1B,1,3,18839
Jesus Aguilar,- - -,1B,-5,0,11342
Ji-Man Choi,TBR,1B,-2,2,5452
Harold Castro,DET,1B,-1,-2,14691
Bobby Dalbec,BOS,1B,-6,-1,19966
Brandon Belt,SFG,1B,2,-3,10264
Alfonso Rivas,CHC,1B,6,-2,21560
Michael Chavis,PIT,1B,2,-2,17321
Seth Brown,OAK,1B,0,-3,18171
Ryan Mountcastle,BAL,1B,1,2,18373
C.J. Cron,COL,1B,5,0,12546
Franchy Cordero,BOS,1B,-4,-7,14567
Jose Miranda,MIN,1B,-6,-4,20538
Jared Walsh,LAA,1B,-2,0,18607
Eric Hosmer,- - -,1B,-5,-2,3516
Spencer Torkelson,DET,1B,-3,-1,27465
Jose Abreu,CHW,1B,1,0,15676
Freddie Freeman,LAD,1B,-2,3,5361
Matt Olson,ATL,1B,6,2,14344
Anthony Rizzo,NYY,1B,-3,-2,3473
Ty France,SEA,1B,2,-2,17982
Josh Bell,- - -,1B,-1,-4,13145
Vladimir Guerrero Jr.,TOR,1B,3,-4,19611
Joey Votto,CIN,1B,-2,-9,4314
Rowdy Tellez,MIL,1B,-6,-4,15679
Paul Goldschmidt,STL,1B,2,-6,9218
Pete Alonso,NYM,1B,-2,-7,19251
Rhys Hoskins,PHI,1B,3,-6,16472
Yuli Gurriel,HOU,1B,-2,-9,19198
Nathaniel Lowe,TEX,1B,-9,-11,19566
