Name,Team,Pos,DRS,OAA,playerid
David Peralta,- - -,OF,-5,5,2136
Tommy Pham,- - -,OF,0,-6,2967
Jason Heyward,CHC,OF,-3,1,4940
Giancarlo Stanton,NYY,OF,-4,-2,4949
Robbie Grossman,- - -,OF,3,0,5254
Aaron Hicks,NYY,OF,4,1,5297
Avisail Garcia,MIA,OF,-3,0,5760
Charlie Blackmon,COL,OF,-6,-5,7859
Lorenzo Cain,MIL,OF,3,4,9077
Starling Marte,NYM,OF,4,-2,9241
A.J. Pollock,CHW,OF,0,0,9256
Andrew McCutchen,MIL,OF,5,0,9847
Trayce Thompson,- - -,OF,2,3,9952
Wil Myers,SDP,OF,5,2,10047
Mike Trout,LAA,OF,0,3,10155
Randal Grichuk,COL,OF,-4,-1,10243
Rafael Ortega,CHC,OF,-2,-1,10323
Marcell Ozuna,ATL,OF,-6,-3,10324
Enrique Hernandez,BOS,OF,4,4,10472
Corey Dickerson,STL,OF,-5,1,10762
Jurickson Profar,SDP,OF,2,-5,10815
Adam Duvall,ATL,OF,-3,4,10950
Kevin Kiermaier,TBR,OF,2,1,11038
Kole Calhoun,TEX,OF,-3,-1,11200
Whit Merrifield,- - -,OF,-3,2,11281
Mark Canha,NYM,OF,-4,0,11445
Odubel Herrera,PHI,OF,-3,2,11476
Christian Yelich,MIL,OF,-2,-4,11477
Michael A. Taylor,KCR,OF,19,5,11489
Nick Castellanos,PHI,OF,-8,-11,11737
Joc Pederson,SFG,OF,-15,-11,11899
Max Kepler,MIN,OF,9,11,12144
Eddie Rosario,ATL,OF,-9,-6,12155
Ben Gamel,PIT,OF,-7,-6,12160
George Springer,TOR,OF,-4,1,12856
Brandon Nimmo,NYM,OF,-3,6,12927
Jackie Bradley Jr.,- - -,OF,5,8,12984
Teoscar Hernandez,TOR,OF,-2,-4,13066
Tyler Naquin,- - -,OF,-6,-1,13359
Jesse Winker,SEA,OF,-16,-10,13590
Mookie Betts,LAD,OF,15,4,13611
Tyrone Taylor,MIL,OF,6,6,13675
Chris Taylor,LAD,OF,-2,1,13757
Rob Refsnyder,BOS,OF,-5,-2,13770
Albert Almora Jr.,CIN,OF,8,6,14109
Joey Gallo,- - -,OF,4,-3,14128
Byron Buxton,MIN,OF,8,8,14161
Jorge Soler,MIA,OF,-1,-2,14221
Mitch Haniger,SEA,OF,3,2,14274
Raimel Tapia,TOR,OF,-4,-4,14350
Jake Cave,MIN,OF,3,-1,14477
Anthony Santander,BAL,OF,-5,-4,14551
Nomar Mazara,SDP,OF,-2,1,14553
Manuel Margot,TBR,OF,3,0,14712
Brett Phillips,- - -,OF,7,11,14735
Mike Yastrzemski,SFG,OF,3,3,14854
Tony Kemp,OAK,OF,0,-2,14894
Adam Engel,CHW,OF,3,3,15082
Chad Pinder,OAK,OF,-5,-4,15191
Jeff McNeil,NYM,OF,2,1,15362
Hunter Renfroe,MIL,OF,2,-2,15464
Aristides Aquino,CIN,OF,20,2,15482
Victor Reyes,DET,OF,0,-2,15487
Aaron Judge,NYY,OF,3,2,15640
Tyler O'Neill,STL,OF,1,1,15711
Yonathan Daza,COL,OF,-5,-2,15794
Cody Bellinger,LAD,OF,0,6,15998
Austin Slater,SFG,OF,-9,2,16153
Bradley Zimmer,- - -,OF,6,4,16221
Nick Gordon,MIN,OF,0,0,16337
Oscar Mercado,- - -,OF,1,-3,16375
Jordan Luplow,ARI,OF,2,1,16424
Kyle Schwarber,PHI,OF,-14,-13,16478
Mauricio Dubon,- - -,OF,0,0,16530
Connor Joe,COL,OF,0,-5,16572
Lane Thomas,WSN,OF,-1,-3,16939
Alex Verdugo,BOS,OF,-5,-5,17027
Ramon Laureano,OAK,OF,-1,-5,17128
Willi Castro,DET,OF,2,0,17338
Jose Siri,- - -,OF,7,15,17452
Taylor Ward,LAA,OF,-3,1,17548
Myles Straw,CLE,OF,17,13,17620
Andrew Benintendi,- - -,OF,2,0,17901
Ian Happ,CHC,OF,14,2,17919
Cedric Mullins II,BAL,OF,5,8,17929
Sam Hilliard,COL,OF,10,-1,17954
Harrison Bader,- - -,OF,-1,7,18030
Dylan Moore,SEA,OF,2,2,18042
Sam Haggerty,SEA,OF,9,5,18054
Seth Brown,OAK,OF,-6,-4,18171
Brian Anderson,MIA,OF,2,-3,18289
Kyle Tucker,HOU,OF,14,3,18345
Victor Robles,WSN,OF,12,5,18363
Ronald Acuna Jr.,ATL,OF,0,-5,18401
Trent Grisham,SDP,OF,8,13,18564
Jose Azocar,SDP,OF,3,7,18821
Leody Taveras,TEX,OF,-2,4,18900
Lourdes Gurriel Jr.,TOR,OF,3,-2,19238
Jake Fraley,CIN,OF,-6,-2,19260
Adolis Garcia,TEX,OF,4,1,19287
Randy Arozarena,TBR,OF,-5,0,19290
Nick Senzel,CIN,OF,-11,0,19293
Bryan Reynolds,PIT,OF,-14,-7,19326
Yadiel Hernandez,WSN,OF,-3,-5,19334
Austin Hays,BAL,OF,4,-6,19363
T.J. Friedl,CIN,OF,-4,-1,19522
Yordan Alvarez,HOU,OF,5,-5,19556
Chas McCormick,HOU,OF,-2,7,19599
Bryan De La Cruz,MIA,OF,-1,-3,19600
Pavin Smith,ARI,OF,0,0,19892
Gavin Sheets,CHW,OF,-8,-5,19901
Jesus Sanchez,MIA,OF,3,-2,19913
Daulton Varsho,ARI,OF,19,17,19918
Ryan McKenna,BAL,OF,3,3,19928
Cristian Pache,OAK,OF,5,8,19948
Josh Lowe,TBR,OF,2,-1,19953
Luis Robert,CHW,OF,-4,2,20043
Juan Soto,- - -,OF,-2,-12,20123
Dylan Carlson,STL,OF,1,1,20126
Brandon Marsh,- - -,OF,6,8,20202
Jo Adell,LAA,OF,-1,-3,20220
Gilberto Celestino,MIN,OF,1,2,20233
Jake Meyers,HOU,OF,4,7,20308
Luis Gonzalez,SFG,OF,0,-5,20332
Oscar Gonzalez,CLE,OF,-1,-5,20970
Lars Nootbaar,STL,OF,4,0,21454
Trevor Larnach,MIN,OF,9,1,21501
Matt Vierling,PHI,OF,-6,-2,21558
Kyle Isbel,KCR,OF,9,12,21614
Jake McCarthy,ARI,OF,-1,-1,21622
Christopher Morel,CHC,OF,-6,-4,21897
Akil Baddoo,DET,OF,6,-1,22168
Calvin Mitchell,PIT,OF,-4,-4,22169
MJ Melendez,KCR,OF,-5,-2,22197
Jack Suwinski,PIT,OF,2,1,22244
Bubba Thompson,TEX,OF,0,2,22261
Jarred Kelenic,SEA,OF,3,1,22558
Nelson Velazquez,CHC,OF,-8,-4,23359
Julio Rodriguez,SEA,OF,3,6,23697
Alek Thomas,ARI,OF,6,6,23792
Steven Kwan,CLE,OF,15,8,24610
Jarren Duran,BOS,OF,-7,-2,24617
Michael Harris II,ATL,OF,8,7,25931
Riley Greene,DET,OF,2,2,25976
Andrew Vaughn,CHW,OF,-14,-16,26197
J.J. Bleday,MIA,OF,-3,-3,26368
Seiya Suzuki,CHC,OF,-4,-4,30116
