Name,Team,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,playerid
Aaron Judge,NYY,30,62,0.63,0.463,207,4,11.4,15640
Yordan Alvarez,HOU,25,37,0.74,0.462,185,3,6.6,19556
Mike Trout,LAA,30,40,0.39,0.395,176,3.3,6,10155
Juan Soto,- - -,23,27,1.41,0.401,145,3.5,3.8,20123
Mookie Betts,LAD,29,35,0.53,0.344,144,6,6.6,13611
Joc Pederson,SFG,30,23,0.42,0.367,144,4,2.1,11899
Eloy Jimenez,CHW,25,16,0.39,0.365,144,1,1.7,17484
Michael Harris II,ATL,21,19,0.2,0.335,136,7.2,4.8,25931
Julio Rodriguez,SEA,21,28,0.28,0.337,146,6.2,5.3,23697
Jeff McNeil,NYM,30,9,0.66,0.323,143,3.3,5.9,15362
Taylor Ward,LAA,28,23,0.5,0.361,137,3.4,3.8,17548
Byron Buxton,MIN,28,28,0.29,0.358,136,6.5,4,14161
Starling Marte,NYM,33,16,0.27,0.336,136,6.5,3,9241
Kyle Schwarber,PHI,29,46,0.43,0.375,128,5.2,2.6,16478
Brandon Nimmo,NYM,29,16,0.61,0.342,134,4.7,5.4,12927
George Springer,TOR,32,25,0.54,0.342,132,6,4.2,12856
Bryan Reynolds,PIT,27,27,0.4,0.329,125,4.5,2.9,19326
Brendan Donovan,STL,25,5,0.86,0.339,129,2.9,2.7,24679
Teoscar Hernandez,TOR,29,25,0.22,0.351,129,3.8,2.4,13066
Kyle Tucker,HOU,25,30,0.62,0.353,129,4.9,4.7,18345
Hunter Renfroe,MIL,30,29,0.32,0.323,124,2.2,2.5,15464
Austin Slater,SFG,29,7,0.45,0.351,124,6.8,2.1,16153
Mark Canha,NYM,33,13,0.49,0.323,128,3.1,2.8,11445
Lars Nootbaar,STL,24,14,0.72,0.346,125,5.5,2.7,21454
Andrew Benintendi,- - -,27,5,0.68,0.334,122,4.1,2.8,17901
Steven Kwan,CLE,24,6,1.03,0.312,124,6.2,4.4,24610
Oscar Gonzalez,CLE,24,11,0.2,0.32,122,1.6,1.6,20970
Ian Happ,CHC,27,17,0.39,0.306,120,3.9,3.5,17919
Jake McCarthy,ARI,24,8,0.3,0.298,116,7.6,2.3,21622
Anthony Santander,BAL,27,33,0.45,0.352,120,1.6,2.5,14551
Randy Arozarena,TBR,27,20,0.29,0.301,125,5.6,2.7,19290
Ronald Acuna Jr.,ATL,24,15,0.42,0.366,114,4.9,2.2,18401
Seiya Suzuki,CHC,27,14,0.38,0.327,116,4.5,2,30116
Christian Yelich,MIL,30,14,0.54,0.339,111,6,2.3,11477
Harold Ramirez,TBR,27,6,0.26,0.314,119,2.2,1.2,14387
Giancarlo Stanton,NYY,32,31,0.36,0.351,115,0.9,1.2,4949
Lourdes Gurriel Jr.,TOR,28,5,0.37,0.321,114,2.7,1,19238
Andrew Vaughn,CHW,24,17,0.32,0.319,113,1.8,-0.4,26197
Chas McCormick,HOU,27,14,0.43,0.325,114,3.8,2,19599
Adolis Garcia,TEX,29,27,0.22,0.322,112,6.6,3.8,19287
Luis Robert,CHW,24,12,0.22,0.327,111,4.6,2.1,20043
Seth Brown,OAK,29,25,0.35,0.338,117,4.7,1.8,18171
Yonathan Daza,COL,28,2,0.45,0.308,93,3.4,0.7,15794
Daulton Varsho,ARI,25,27,0.32,0.298,106,5.7,4.6,19918
Christopher Morel,CHC,23,16,0.28,0.324,108,5.9,1.6,21897
Nick Gordon,MIN,26,9,0.18,0.333,111,4.9,1.5,16337
Jurickson Profar,SDP,29,15,0.71,0.315,110,4,2.5,10815
Alex Verdugo,BOS,26,11,0.49,0.329,103,2.2,1.2,17027
Charlie Blackmon,COL,35,16,0.29,0.301,89,4.5,0.1,7859
Cedric Mullins II,BAL,27,16,0.37,0.288,106,6.6,3.4,17929
Yadiel Hernandez,WSN,34,9,0.26,0.31,101,2.2,-0.1,19334
David Peralta,- - -,34,12,0.36,0.313,104,2.5,1.7,2136
Randal Grichuk,COL,30,19,0.19,0.281,88,4.4,-0.2,10243
Tyrone Taylor,MIL,28,17,0.22,0.307,102,4.6,2.1,13675
Austin Hays,BAL,26,16,0.3,0.298,105,3,1.5,19363
Connor Joe,COL,29,7,0.57,0.311,87,5.3,0,16572
Bryan De La Cruz,MIA,25,13,0.21,0.355,104,3.5,0.6,19600
Jesse Winker,SEA,28,14,0.82,0.345,109,0.9,0.4,13590
Jack Suwinski,PIT,23,19,0.36,0.307,100,3.1,1.8,22244
MJ Melendez,KCR,23,18,0.5,0.332,99,3.1,-0.2,22197
Andrew McCutchen,MIL,35,17,0.46,0.325,98,3,0.3,9847
Manuel Margot,TBR,27,4,0.35,0.299,106,4.4,1.5,14712
Gavin Sheets,CHW,26,15,0.31,0.283,100,0.7,0.1,19901
Lane Thomas,WSN,26,17,0.31,0.286,96,4.1,1.1,16939
Ben Gamel,PIT,30,9,0.49,0.316,97,4.1,0,12160
Tyler O'Neill,STL,27,14,0.37,0.331,101,5.9,1.3,15711
Mike Yastrzemski,SFG,31,17,0.43,0.314,99,4.7,2.2,14854
Dylan Carlson,STL,23,8,0.48,0.301,100,4.9,2.4,20126
Jorge Soler,MIA,30,13,0.34,0.322,98,1.6,0.5,14221
Rafael Ortega,CHC,31,7,0.59,0.307,96,4.2,0.7,10323
Nick Castellanos,PHI,30,13,0.22,0.302,94,3.4,-0.7,11737
Tommy Pham,- - -,34,17,0.34,0.311,89,4.5,0.6,2967
Tyler Naquin,- - -,31,11,0.2,0.317,93,6.5,0.3,13359
Riley Greene,DET,21,5,0.3,0.316,98,4.2,0.9,25976
Luis Gonzalez,SFG,26,4,0.4,0.268,95,5.2,0.3,20332
Aledmys Diaz,HOU,31,12,0.34,0.308,96,2.1,0.6,15937
Max Kepler,MIN,29,9,0.74,0.338,95,3.4,2,12144
Chris Taylor,LAD,31,10,0.28,0.277,93,5.6,1.9,13757
Jesus Sanchez,MIA,24,13,0.28,0.298,93,4.2,0.9,19913
Marcell Ozuna,ATL,31,23,0.25,0.337,89,2.4,-0.6,10324
Hunter Dozier,KCR,30,12,0.27,0.301,90,4.2,-1,15117
A.J. Pollock,CHW,34,14,0.33,0.317,92,3.5,0.5,9256
Michael A. Taylor,KCR,31,9,0.32,0.289,90,4.1,1.5,11489
Leody Taveras,TEX,23,5,0.24,0.27,93,5.6,1.2,18900
Brandon Marsh,- - -,24,11,0.18,0.287,89,5.6,1.7,20202
Adam Duvall,ATL,33,12,0.21,0.293,87,3.2,0.9,10950
Whit Merrifield,- - -,33,11,0.45,0.288,88,5.2,1.5,11281
Ramon Laureano,OAK,27,13,0.24,0.307,96,4.8,0.9,17128
Brian Anderson,MIA,29,8,0.37,0.309,90,3.3,0.5,18289
Raimel Tapia,TOR,28,7,0.2,0.286,90,5.3,0.3,14350
Aaron Hicks,NYY,32,8,0.57,0.303,90,5,1.5,5297
Darin Ruf,- - -,35,11,0.43,0.31,89,3.4,-0.7,9929
Tony Kemp,OAK,30,7,0.65,0.267,91,5.1,1.5,14894
Harrison Bader,- - -,28,5,0.24,0.27,86,7.4,1.5,18030
Joey Gallo,- - -,28,19,0.34,0.295,85,4.7,0.6,14128
Willi Castro,DET,25,8,0.18,0.29,86,5.5,0.7,17338
Matt Vierling,PHI,25,6,0.33,0.327,81,5.1,0,21558
Cody Bellinger,LAD,26,19,0.25,0.278,83,6.3,1.7,15998
Victor Reyes,DET,27,3,0.17,0.292,85,3.7,-0.2,15487
Robbie Grossman,- - -,32,7,0.43,0.281,82,3.4,-0.3,5254
Chad Pinder,OAK,30,12,0.12,0.28,86,2.9,-0.1,15191
Trent Grisham,SDP,25,17,0.38,0.295,83,4.9,2.1,18564
Enrique Hernandez,BOS,30,6,0.48,0.296,75,2.4,0.5,10472
Gilberto Celestino,MIN,23,2,0.42,0.27,82,3.8,0,20233
Alek Thomas,ARI,22,8,0.3,0.277,71,3.7,0.5,23792
Nick Senzel,CIN,27,5,0.39,0.299,66,3.7,-0.6,19293
Jose Siri,- - -,26,7,0.19,0.261,75,7.8,1.9,17452
Kole Calhoun,TEX,34,12,0.2,0.294,67,3.3,-1.1,11200
Victor Robles,WSN,25,6,0.16,0.244,64,6.1,0.3,18363
Avisail Garcia,MIA,31,8,0.16,0.281,66,3.3,-0.6,5760
Myles Straw,CLE,27,0,0.62,0.275,64,6.5,2,17620
Jackie Bradley Jr.,- - -,32,4,0.31,0.268,56,2.7,-0.1,12984
Leury Garcia,CHW,31,3,0.11,0.258,39,4.3,-1.1,5913
