Name,Team,Age,K/BB,SIERA,xFIP,FBv,WAR,playerid
Evan Phillips,LAD,27,5.13,2.34,2.72,96.1,2.2,17734
Ryne Stanek,HOU,30,2,3.85,3.95,98.4,0.9,15947
Ryan Helsley,STL,27,4.7,2.02,2.6,99.7,2,18138
Edwin Diaz,NYM,28,6.56,1.11,1.04,99.1,3,14710
Emmanuel Clase,CLE,24,7.7,1.95,2.18,99.6,2.4,21032
Cionel Perez,BAL,26,2.62,3.48,3.56,96.9,1,19614
Anthony Bass,- - -,34,3.65,3.11,3.34,95.3,1.3,7982
Jason Adam,TBR,30,4.41,2.57,3.17,94.8,1.3,11861
Erik Swanson,SEA,28,6.9,2.15,2.68,93.7,1.7,16587
Daniel Bard,COL,37,2.76,3.17,3.3,98,1.8,7115
Alexis Diaz,CIN,25,2.52,3.29,3.97,95.7,1,21132
Jhoan Duran,MIN,24,5.56,1.96,2.11,100.9,1.5,21029
Devin Williams,MIL,27,3.2,2.43,2.36,94,2.2,15816
Bryan Abreu,HOU,25,3.38,2.56,2.69,97.2,1.4,16609
Matt Moore,TEX,33,2.18,3.69,3.87,94,1.3,1890
Brock Burke,TEX,25,3.75,3.05,3.49,95,0.9,17968
Adam Ottavino,NYM,36,4.94,2.45,2.79,94.4,1.1,1247
A.J. Minter,ATL,28,6.27,2.13,2.68,96.7,2.1,18655
Jordan Romano,TOR,29,3.48,3.02,3.44,96.9,1.6,16122
Dylan Lee,ATL,27,5.9,2.64,3.1,92.2,1.1,19996
Alex Vesia,LAD,26,3.29,2.68,3.03,94.2,1.5,25007
Scott Barlow,KCR,29,3.5,3.1,3.42,93.7,0.9,14993
Felix Bautista,BAL,27,3.83,2.49,2.77,99.2,1.4,20666
John Schreiber,BOS,28,3.89,2.71,3.01,94,1.7,20020
Michael King,NYY,27,4.13,2.44,2.42,95.9,1.7,19853
Sam Hentges,CLE,25,3.79,2.51,2.67,95.8,1.1,18548
Andre Pallante,STL,23,1.38,3.92,4,95.2,0,26108
Rafael Montero,HOU,31,3.17,3.05,3.22,96.3,1.5,12760
David Robertson,- - -,37,2.31,3.43,3.71,,0.7,8241
Jimmy Herget,LAA,28,4.07,3.27,3.54,90.6,1.5,17556
Erasmo Ramirez,WSN,32,4.58,3.67,3.85,93.2,0.6,10314
Raisel Iglesias,- - -,32,5.57,2.46,2.99,95,1.6,17130
Trevor Williams,NYM,30,3.67,3.21,3.61,91.1,0.7,16977
Andres Munoz,SEA,23,6.4,1.74,2.04,100.2,1.9,20373
Camilo Doval,SFG,24,2.67,3.07,3.04,99,1.2,21992
Jaime Barria,LAA,25,3.4,3.97,4.25,91.9,0.2,18356
Jorge Lopez,- - -,29,2.32,3.46,3.69,97.7,0.8,14527
Clay Holmes,NYY,29,3.25,2.28,2.9,97.1,1.1,13649
Collin McHugh,ATL,35,5.36,2.78,3.24,91.3,1.4,7531
Scott Effross,- - -,28,4.13,2.88,3.1,90.6,1.3,18384
David Bednar,PIT,27,4.31,2.53,2.83,96.5,1.5,19569
Chase De Jong,PIT,28,1.97,4.38,4.96,92.9,-0.2,15036
Nick Martinez,SDP,31,3.43,3.42,3.73,94.1,0.4,12730
Lucas Luetge,NYY,35,3.53,3.41,3.95,,0.9,8337
Paul Sewald,SEA,32,4.24,2.89,3.58,92.6,0.5,13892
Brooks Raley,TBR,34,4.07,2.92,3.28,90.7,0.9,10061
Trevor Stephan,CLE,26,4.56,2.55,2.81,96.6,1.7,19932
Wandy Peralta,NYY,30,2.76,3.51,3.61,95.5,1,14295
Carl Edwards Jr.,WSN,30,2.24,3.88,4.09,94.7,0.1,13607
Dylan Coleman,KCR,25,1.92,4.04,4.38,97.6,0.4,22276
Adam Cimber,TOR,31,4.46,3.53,3.87,86.5,0.9,15288
Liam Hendriks,CHW,33,5.31,2.14,2.64,97.6,1.6,3548
Andrew Chafin,DET,32,3.53,2.97,3.27,91.6,0.9,12988
Reynaldo Lopez,CHW,28,5.45,3.08,3.35,97.1,1.9,16400
Joe Mantiply,ARI,31,10.17,2.4,2.52,90.5,1.2,14857
Mark Leiter Jr.,CHC,31,3.44,2.89,3.19,91.1,0.7,15551
David Phelps,TOR,35,2.06,3.98,4.23,93.3,0.8,6316
Brad Boxberger,MIL,34,2.52,3.65,4.06,92.8,0.7,10133
Steven Okert,MIA,30,2.42,3.5,4.14,93.7,-0.1,13580
Seranthony Dominguez,PHI,27,2.77,3.15,3.26,98,1,19249
Dylan Floro,MIA,31,3.2,3.51,3.6,92.6,0.7,13394
Andrew Bellatti,PHI,30,3.17,2.86,3.36,94.4,1,10657
Enyel De Los Santos,CLE,26,3.59,2.98,3.17,95.3,1,18403
Giovanny Gallegos,STL,30,4.06,2.89,3.51,94.4,1.3,14986
Chris Martin,- - -,36,14.8,1.87,2.01,95.2,1.6,11847
Dillon Tate,BAL,28,3.75,3.09,3.4,94,0.5,17796
Tanner Banks,CHW,30,2.72,3.55,3.6,92.9,0.3,16990
Keegan Akin,BAL,27,3.84,3.21,3.35,93.6,0.4,19362
Penn Murfee,SEA,28,4.35,2.97,3.56,89,0.6,25174
Nabil Crismatt,SDP,27,3.21,3.32,3.44,90.5,0.7,17732
Yimi Garcia,TOR,31,3.63,3.43,4.09,94.7,0.9,12095
Steven Wilson,SDP,27,2.55,4.05,4.73,95.1,0.2,20353
