Name,Team,Pos,DRS,OAA,playerid
Jonathan Schoop,DET,2B,8,27,11265
Andres Gimenez,CLE,2B,16,12,19950
Santiago Espinal,TOR,2B,4,10,19997
Trevor Story,BOS,2B,6,10,12564
Tommy Edman,STL,2B,12,8,19470
Adam Frazier,SEA,2B,-1,6,15223
Jeff McNeil,NYM,2B,3,7,15362
Brendan Rodgers,COL,2B,22,3,17907
Marcus Semien,TEX,2B,11,8,12533
Tony Kemp,OAK,2B,-2,5,14894
Jake Cronenworth,SDP,2B,2,4,18036
Gavin Lux,LAD,2B,3,3,19955
Nicky Lopez,KCR,2B,-8,4,19339
Jean Segura,PHI,2B,-1,4,5933
Luis Guillorme,NYM,2B,1,3,16451
Ozzie Albies,ATL,2B,-1,4,16556
Jazz Chisholm Jr.,MIA,2B,2,3,20454
Nick Madrigal,CHC,2B,4,2,20521
Bryson Stott,PHI,2B,1,3,26294
Josh Harrison,CHW,2B,3,3,8202
Whit Merrifield,- - -,2B,-5,3,11281
Jose Altuve,HOU,2B,-15,2,5417
Orlando Arcia,ATL,2B,0,2,13185
Abraham Toro,SEA,2B,-2,1,19844
Michael Massey,KCR,2B,1,-3,27684
Leury Garcia,CHW,2B,-1,0,5913
Thairo Estrada,SFG,2B,-12,-1,16426
Gleyber Torres,NYY,2B,9,0,16997
Cesar Hernandez,WSN,2B,-8,-4,10556
Luis Rengifo,LAA,2B,-1,-3,19858
Brandon Lowe,TBR,2B,0,-3,18882
Rougned Odor,BAL,2B,-9,-5,12282
Ketel Marte,ARI,2B,-6,-3,13613
Wilmer Flores,SFG,2B,-9,-3,5827
Jonathan India,CIN,2B,-14,-9,21523
Kolten Wong,MIL,2B,-1,-9,12532
Nolan Gorman,STL,2B,-5,-12,22263
Jorge Polanco,MIN,2B,-1,-9,13152
