Name,Team,Age,K/BB,SIERA,xFIP,FBv,WAR,playerid
Justin Verlander,HOU,39,6.38,3.09,3.23,95.1,6.1,8700
Tony Gonsolin,LAD,28,3.4,3.74,3.69,93.2,2.7,19388
Julio Urias,LAD,25,4.05,3.66,3.81,93.1,3.2,14765
Dylan Cease,CHW,26,2.91,3.48,3.5,96.8,4.4,18525
Alek Manoah,TOR,24,3.53,3.85,3.97,93.6,4.1,26410
Clayton Kershaw,LAD,34,5.96,2.98,2.83,90.8,3.8,2036
Sandy Alcantara,MIA,26,4.14,3.42,3.29,97.9,5.7,18684
Max Scherzer,NYM,37,7.21,2.88,3.23,94.1,4.4,3137
Shohei Ohtani,LAA,27,4.98,2.73,2.65,97.3,5.6,19755
Nestor Cortes,NYY,27,4.29,3.48,3.63,91.8,3.6,17874
Max Fried,ATL,28,5.31,3.31,3.09,93.9,5,13743
Shane McClanahan,TBR,25,5.11,2.82,2.6,96.8,3.5,21483
Zac Gallen,ARI,26,4.09,3.32,3.31,94.2,4.3,19291
Tyler Anderson,LAD,32,3.82,4.13,4.17,90.5,3.7,12880
Jeffrey Springs,TBR,29,4.75,3.36,3.33,91.5,2.6,17677
Cristian Javier,HOU,25,3.53,3.28,3.6,93.9,3.1,17606
Spencer Strider,ATL,23,4.85,2.41,2.2,98.1,4.2,27498
Framber Valdez,HOU,28,2.9,3.14,2.99,94,4.4,17295
Zack Wheeler,PHI,32,4.79,3.19,3.06,95.8,4.1,10310
Drew Rasmussen,TBR,26,4.03,3.74,3.56,95.5,2.9,25385
Shane Bieber,CLE,27,5.5,3.21,2.98,91.3,4.9,19427
Carlos Rodon,SFG,29,4.56,2.83,2.91,95.6,6.2,16137
Martin Perez,TEX,31,2.45,4.08,3.8,92.7,3.8,6902
Logan Webb,SFG,25,3.33,3.56,3.31,91.9,4.2,17995
Patrick Sandoval,LAA,25,2.52,3.94,3.67,93.2,3.8,19447
Triston McKenzie,CLE,24,4.5,3.53,3.72,92.6,3.6,18000
Ross Stripling,TOR,32,7.14,3.69,3.6,91.5,3.1,13273
Jose Quintana,- - -,33,2.91,4.02,3.72,91.3,4,11423
Joe Musgrove,SDP,29,4.38,3.45,3.47,92.9,3.5,12970
Corbin Burnes,MIL,27,4.76,2.91,2.85,96.3,4.6,19361
