Name,Team,Pos,DRS,OAA,playerid
Ke'Bryan Hayes,PIT,3B,24,18,18577
Nolan Arenado,STL,3B,19,15,9777
Ryan McMahon,COL,3B,10,10,15112
Ramon Urias,BAL,3B,14,7,18795
Manny Machado,SDP,3B,-3,8,11493
Alex Bregman,HOU,3B,-4,5,17678
Josh Donaldson,NYY,3B,7,7,5038
Jace Peterson,MIL,3B,11,7,12325
Yoan Moncada,CHW,3B,2,4,17232
Ildemaro Vargas,WSN,3B,8,5,13324
Matt Chapman,TOR,3B,2,1,16505
DJ LeMahieu,NYY,3B,7,4,9874
Jose Ramirez,CLE,3B,2,1,13510
Isaac Paredes,TBR,3B,5,2,20036
Emmanuel Rivera,- - -,3B,6,3,19890
Eugenio Suarez,SEA,3B,-2,-1,12552
Anthony Rendon,LAA,3B,2,0,12861
Brandon Drury,- - -,3B,-4,0,11615
Evan Longoria,SFG,3B,-4,0,9368
Max Muncy,LAD,3B,7,-2,13301
Rafael Devers,BOS,3B,-6,-2,17350
Justin Turner,LAD,3B,1,-2,5235
Gio Urshela,MIN,3B,4,-5,10681
Luis Urias,MIL,3B,2,-1,16622
Ezequiel Duran,TEX,3B,-1,-1,23733
Bobby Witt Jr.,KCR,3B,-4,-3,25764
Brian Anderson,MIA,3B,-4,-2,18289
Vimael Machin,OAK,3B,-6,-4,17684
Maikel Franco,WSN,3B,-10,-4,12179
Jeimer Candelario,DET,3B,-1,-6,13621
Austin Riley,ATL,3B,6,-6,18360
Eduardo Escobar,NYM,3B,-11,-7,6153
Josh Rojas,ARI,3B,-1,-6,19734
Yandy Diaz,TBR,3B,-14,-8,16578
Alec Bohm,PHI,3B,-17,-9,21618
Patrick Wisdom,CHC,3B,-6,-11,13602
