,Name,Team,Pos,Age,Actual Salary,Predicted Salary,Value Index
0,"Alcantara, Sandy",MIA,SP,26,3500000,6420307,183.43734285714285
1,"Anderson, Tyler",LAD,SP,32,716900,7451643,1039.4257218579996
2,"Archer, Chris",MIN,SP,33,2750000,9090485,330.56309090909093
3,"Ashcraft, Graham",CIN,SP,24,700000,2227994,318.28485714285716
4,"Bassitt, Chris",NYM,SP,33,8650000,11794847,136.356612716763
5,"Berrios, Jose",TOR,SP,28,10000000,6656006,66.56006
6,"Bieber, Shane",CLE,SP,27,6000000,3524720,58.745333333333335
7,"Blackburn, Paul",OAK,SP,28,710000,3320571,467.68605633802815
8,"Bradish, Kyle",BAL,SP,25,700000,1630822,232.9745714285714
9,"Brubaker, JT",PIT,SP,28,725000,4178168,576.2990344827587
10,"Bubic, Kris",KCR,SP,24,713750,-4816789,-674.8566024518389
11,"Bumgarner, Madison",ARI,SP,32,23000000,7305702,31.763921739130435
12,"Bundy, Dylan",MIN,SP,29,4000000,2567780,64.1945
13,"Burnes, Corbin",MIL,SP,27,6500000,8804340,135.45138461538463
14,"Carrasco, Carlos",NYM,SP,35,12000000,15019452,125.16210000000001
15,"Castillo, Luis",SEA,SP,29,7350000,10651851,144.92314285714286
16,"Cease, Dylan",CHW,SP,26,750000,4932080,657.6106666666667
17,"Clevinger, Mike",SDP,SP,31,6500000,9662662,148.65633846153844
18,"Cobb, Alex",SFG,SP,34,9000000,14860430,165.1158888888889
19,"Cole, Gerrit",NYY,SP,31,36000000,17577552,48.82653333333333
20,"Corbin, Patrick",WSN,SP,32,23000000,9181053,39.91762173913043
21,"Cortes, Nestor",NYY,SP,27,727500,4010896,551.325910652921
22,"Cueto, Johnny",CHW,SP,36,4200000,12571891,299.3307380952381
23,"Darvish, Yu",SDP,SP,35,20000000,19419986,97.09993
24,"Davies, Zach",ARI,SP,29,1500000,598879,39.925266666666666
25,"Detmers, Reid",LAA,SP,22,710000,-4020702,-566.2960563380282
26,"Dunning, Dane",TEX,SP,27,714000,-1268751,-177.69621848739496
27,"Eovaldi, Nathan",BOS,SP,32,17000000,16882953,99.31148823529412
28,"Fedde, Erick",WSN,SP,29,2150000,2374702,110.4512558139535
29,"Freeland, Kyle",COL,SP,29,7000000,945519,13.507414285714287
30,"Fried, Max",ATL,SP,28,6850000,7052839,102.96115328467152
31,"Gallen, Zac",ARI,SP,26,745600,4106669,550.7871512875537
32,"Garcia, Luis",HOU,SP,25,1251500,2434387,194.5175389532561
33,"Gausman, Kevin",TOR,SP,31,21000000,15147038,72.12875238095238
34,"Gibson, Kyle",PHI,SP,34,7000000,11326309,161.80441428571427
35,"Gilbert, Logan",SEA,SP,25,712300,3731735,523.8993401656605
36,"Giolito, Lucas",CHW,SP,27,7450000,2819251,37.842295302013426
37,"Gonsolin, Tony",LAD,SP,28,720000,5176119,718.9054166666667
38,"Gonzales, Marco",SEA,SP,30,5500000,939603,17.083690909090908
39,"Gray, Jon",TEX,SP,30,15000000,11533768,76.89178666666666
40,"Gray, Josiah",WSN,SP,24,703500,1950855,277.30703624733474
41,"Gray, Sonny",MIN,SP,32,10700000,9522569,88.99597196261682
42,"Greene, Hunter",CIN,SP,22,700000,5308448,758.3497142857143
43,"Greinke, Zack",KCR,SP,38,13000000,11877490,91.3653076923077
44,"Heasley, Jon",KCR,SP,25,700000,-1025588,-146.51257142857145
45,"Hill, Rich",BOS,SP,42,5000000,18945671,378.91342
46,"Houser, Adrian",MIL,SP,29,2425000,2485094,102.47810309278351
47,"Irvin, Cole",OAK,SP,28,705000,2658776,377.1313475177305
48,"Javier, Cristian",HOU,SP,25,749100,3572251,476.87238018956083
49,"Kaprielian, James",OAK,SP,28,705000,3409645,483.6375886524823
50,"Keller, Mitch",PIT,SP,26,725000,2047250,282.3793103448276
51,"Kelly, Merrill",ARI,SP,33,5250000,9725011,185.23830476190477
52,"Kershaw, Clayton",LAD,SP,34,14500000,14594150,100.64931034482758
53,"Kirby, George",SEA,SP,24,700000,5840326,834.3322857142857
